Fid;NAME;PROVINCIA;LOCALITA;ALTITUDINE;NOME_SCIENTIFICO;NOME_VOLGARE;ALTEZZA;SCHEDA;gx_media_l;LATITUDINE;LONGITUDINE
76;Baiano;Avellino;Fontanavecchia;260;Platanus orientalis;Platano;25;http://agricoltura.regione.campania.it/foreste/monum/scheda_74.html;https://lh4.googleusercontent.com/bzHGlZbjuqbFPYz7ZCzsj9_u9TV8t5QDrLkdNbzRJn5T-hdVGu7Z5Zeiw4LDcOUodTxCNVi94frAPO65ajqCfPD2oe4VefSjwMFbu9hTQLPn3xlZ3niEa3ESSC1MOO2z;40,9241;14,6302
77;Baiano;Avellino;Piazza F. Napolitano;196;Quercus ilex;Leccio;6;http://agricoltura.regione.campania.it/foreste/monum/scheda_75.html;https://lh3.googleusercontent.com/xxyn4B9dQn4xx87_mjayiiuz3fk_ZUgjZnURb13G1n4ClVzapeePpFJHIZ7E-L7-Z0nrw3MYIMoBjMnJVoEgCCAAAW4mY6eeyEmTbeH17M4U0hUl9XsvgoAk6PMAZ-E5;40,9518;14,6172
78;Alife;Caserta;Vergini;110;Platanus acerifolia;Platano;30;http://agricoltura.regione.campania.it/foreste/monum/scheda_76.html;https://lh5.googleusercontent.com/8HRoMcg7T5tI1K0Ik0N28utv6SFeHfo9x6vMonyOy-A4YH2SoLbvMbnPwIKTrnCf7P7XUwPBA88znk6gIRL4W2d_ZYq2n7pGu3Q180_dqaTXKvmndg4QQPGmnGkIDBAA9g;41,338;14,3195
79;Alife;Caserta;Centro Urbano;110;Platanus acerifolia;Platano;12;http://agricoltura.regione.campania.it/foreste/monum/scheda_77.html;https://lh5.googleusercontent.com/cja-GZkKypT5VLRBzeDFWUbx3VtbPe4cgulYoOKrcLzcdGPOgnWnPDRi2TuyHW9mgxM7-ZyMd9yfaZIxNb38kXH_XT2K0nrsjErnF3mwDSZjW4XXBx27MsAtXx94FNK0;41,3267;14,3347
80;S. Pietro Infine;Caserta;Centro Urbano;140;Platanus acerifolia;Platano;15;http://agricoltura.regione.campania.it/foreste/monum/scheda_78.html;https://lh6.googleusercontent.com/NuqR3oVMHzTn6cwvBnB1QVCmJLhaNiNUPoXn1XiRa_XorHSyS1XzelsXoJ1HeSkLZY9pcR0v1L3y6tjz_zt-LrUusfRYsWhgiFuxwoAmEzCYz0iGpoOe9BPvrD_kcOo;41,4455;13,9591
81;Aversa;Caserta;Centro Urbano;36;Magnolia grandiflora;Magnolia;9;http://agricoltura.regione.campania.it/foreste/monum/scheda_79.html;https://lh4.googleusercontent.com/_04eSN0c3Pjq0iYQ5l9DaBG0YsstQnQz9ZmRMz71do6dFJrZmWAWzQ7rStX5hJHfyq-Dw-a--A7-foBHiiDBlOnKbxvLZ5KMVbAtkND-DmvGLIoYPudxa6EjwMp24cG9Fg;40,9735;14,2063
82;Massa Lubrense;Napoli;Marciano;100;Olea europaea;Olivo;10;http://agricoltura.regione.campania.it/foreste/monum/scheda_80.html;https://lh3.googleusercontent.com/Ly-4b3YvYvCGd0XhqWl9YXz2c00kyYNOD9hyMY75iiOHkD1LxHa5liNjS5KO2TbwMCM_DXug0clZAT1x10Y1hIAHCRk5mpIXibqlEhcncKJpbiudPNTKXMcX-1owgvg;40,6059;14,3379
83;Massa Lubrense;Napoli;Puolo - Villa Angelina;100;Morus nigra;Gelso;6;http://agricoltura.regione.campania.it/foreste/monum/scheda_81.html;https://lh6.googleusercontent.com/dbXZ2YQPhDByrYwsELZQ6Ve5OG_LBOqvXSdURgU4zXOaNgYuSv94c_l-BlkvYWc2aSuVt3AvikP9wIv2gBPPvNOmLhraTB2ZD1RStrTOaRVzsh8uPnzQdZlrWTiMmqwc;40,6056;14,3305
84;Vico Equense;Napoli;Faito;1167;Fagus sylvatica;Faggio;18;http://agricoltura.regione.campania.it/foreste/monum/scheda_82.html;https://lh6.googleusercontent.com/GpSbLgXEXhzqv5a-n8TxwoB71egfk3ha7Qs15ZsRx8bhuIfqVQ97HKvy8BqcMi3gjiGpa4g1pQh1BPchPJMNDLLHK4dOl6x9qX1Qc2gKhar_emT3fboQV7Ak00nVt7EL;40,6586;14,4913
85;Vico Equense;Napoli;Faito;1167;Fagus sylvatica;Faggio;22;http://agricoltura.regione.campania.it/foreste/monum/scheda_83.html;https://lh5.googleusercontent.com/IiPU5KdGCQU0isYmTXX-hg21rWDVYgg0jgeyN-hy7pOEVkmYlcu_4GKMOvPZizo2CZ2DQKUIr7k-302cn_MKp9AusMjJWwVENaXhoxcbZwbrnR0O5Ca6q1ARBRmbSjK1;40,6586;14,4913
86;Vico Equense;Napoli;Faito;1167;Fagus sylvatica;Faggio;20;http://agricoltura.regione.campania.it/foreste/monum/scheda_84.html;https://lh6.googleusercontent.com/YZoqcJJ_upiulX1XkvnZVLQJRYu24grjcjPaeU2GlzgvQDdMyP-6GHHD7iPmvR7rnSdMXa1hcKVrOxSvHezDwiDz7ktkCgzMLnhGpxBagHLD7QcSkotoMk2FRBMcwdc;40,6586;14,4913
87;Vico Equense;Napoli;Faito;1167;Fagus sylvatica;Faggio;22;http://agricoltura.regione.campania.it/foreste/monum/scheda_85.html;https://lh3.googleusercontent.com/klfAAXTBtXeFI5-j1BqFPULTQjPKXNFkPAj1qVZ1SyO2OzfuqsRI3tH5Wm682bZ0MJTsbJ1B8CAoLbffvxb0F38Q3LVdxmjL99ig8iWSpoioC85vOHsqpMuyFQa0TJUPmQ;40,6586;14,4913
88;Vico Equense;Napoli;Matignano;80;Eucaliptus globosus;Eucalipto;20;http://agricoltura.regione.campania.it/foreste/monum/scheda_86.html;https://lh6.googleusercontent.com/g6MnWa4mdEt583HlAgYJX6MHGE-e2jLP-75gT3XYc8NMtFDf2Mr4JjMGf3zqiJfTABCjyQlGNH-omBaX_zUq0QRNhQwfBOKmfmth59qrcS7dyRjqfFt9JTzHjlpjhw75;40,6547;14,4252
89;Vico Equense;Napoli;Massaquano;350;Tilia cordata;Tiglio;6;http://agricoltura.regione.campania.it/foreste/monum/scheda_87.html;https://lh4.googleusercontent.com/h77Ffa3pmg2LvYOQ9L8FAJZqbKvhWl2xZkoQE1yUZSjuXBZMneEctJxdbB9PHhVp2z501TwSn4KewQDSc6dzk-_VKhADuvPM3P2O1s1PNV49DRUMT_LKR3kREruoYwKc;40,6625;14,4485
90;Vibonati;Salerno;Oliveto;0;Quercus suber;Sughera;10;http://agricoltura.regione.campania.it/foreste/monum/scheda_88.html;https://lh5.googleusercontent.com/dX2tCC8yfLnmbw-UsqCq044i92-AzHOaAjUVqaZSmB7ElfPnt6oV-XLzZuTaMSkhFeUA3sLZLI4mP19UIaylAgWprbTu4GrUKF5CSddn2gU8P-TqaeidzOTfMOk8gq_Vww;40,0733;15,6086
91;Capua;Caserta;Centro Urbano;25;Broussonetia papyrifera;Gelso da carta;8;http://agricoltura.regione.campania.it/foreste/monum/scheda_89.html;https://lh6.googleusercontent.com/BXhEpPIkxAyahC4k-Tvxoo8ADD5V7Z60X2O5WqjVXjq6kkMCoGIvEEoe07sA8YQHNojknrUhoPSRxq0gcoWUjVNi2FjbohS4961_TLrBFufdBJXqj06kq9oLRwcbrd8 https://lh4.googleusercontent.com/efUucT_pIppwj4K12q7FsNI9MeeWkCZD8IlUCE3W29Z90mSG2wsinUFydx;41,0967;14,2208
92;Alvignano;Caserta;Pratillo;570;Laurus nobilis;Alloro;6;http://agricoltura.regione.campania.it/foreste/monum/scheda_90.html;https://lh4.googleusercontent.com/qAd1NK3EJPyFXnZefgSxB0oFN75pQgile8GnLCmzIbEDvxsjS0ikWSBuzik__DvCKW2vz6DB-hZsbUVAvZB0daAwCYlFCuaA_GhfMMt-FoNHGWwh23Y-j-SNY3Pod3M;41,2241;14,3536
93;Alvignano;Caserta;Sagliutella;380;Fraxinus excelsior;Frassino;10;http://agricoltura.regione.campania.it/foreste/monum/scheda_91.html;https://lh5.googleusercontent.com/Er-8j8FY3r8TqrLmEBeWHXwkH-w5_oF8wL41D5h4YTthouMmWfWWmj_9gKwTWYuIAHzDF1URnNoSmsFaPA9cO1x7CVzWUHVXCUdqltwtxTCkFwFS7LgG4dcG871vkbYvXQ;41,2441;14,3366
94;Bonito;Avellino;Bosco;430;Quercus pubescens;Roverella;20;http://agricoltura.regione.campania.it/foreste/monum/scheda_92.html;https://lh4.googleusercontent.com/68lPGitJzl_JbppSmHVVXrKdIst0_HHoqV_F_he-Sfcp1meiwbitnNRaYR4vJLqottmVpIR8QKuYsseK3LoQTPu4gCo4O_l9JXYdFvrLgC_q4n0bjdJZo_gQ8_ojGfI7Tg;41,1911;15,029
